date,inflation_rate
1989-01-01,5.718127681372875
1989-02-01,5.830035320651938
1989-03-01,5.9340705902292346
1989-04-01,5.640049371352052
1989-05-01,5.87378236616436
1989-06-01,5.8017008919311275
1989-07-01,5.728443182053788
1989-08-01,5.460807160091563
1989-09-01,5.7352820428606455
1989-10-01,5.82118462636354
1989-11-01,5.650313342933044
1989-12-01,5.768490179783936
1990-01-01,5.891378962245097
1990-02-01,6.284933049177677
1990-03-01,6.163630182189062
1990-04-01,7.737093292670849
1990-05-01,8.178350961349445
1990-06-01,8.20671672515536
1990-07-01,8.210447878264947
1990-08-01,8.918829073701096
1990-09-01,9.159386526887992
1990-10-01,9.248554913294814
1990-11-01,9.173977309811288
1990-12-01,9.152405955962672
1991-01-01,8.610433190970102
1991-02-01,8.222987288135597
1991-03-01,8.30554770650842
1991-04-01,7.949783104183505
1991-05-01,7.5091774797368505
1991-06-01,7.732864674868201
1991-07-01,7.5385535400395165
1991-08-01,7.540394973070019
1991-09-01,6.870242583766095
1991-10-01,6.470899470899472
1991-11-01,6.461879307919527
1991-12-01,6.502923155252005
1992-01-01,6.246050136928583
1992-02-01,6.330950341717512
1992-03-01,6.209343583678306
1992-04-01,5.242725059170095
1992-05-01,5.081307684505898
1992-06-01,4.63160727199341
1992-07-01,4.514433041807786
1992-08-01,3.6944908180300606
1992-09-01,3.6644422625684347
1992-10-01,3.4703241730027035
1992-11-01,3.2949609394354873
1992-12-01,3.1963470319634757
1993-01-01,3.0220415716598836
1993-02-01,3.129880163726928
1993-03-01,3.244137298572003
1993-04-01,2.5999870566916883
1993-05-01,2.2601505694614277
1993-06-01,2.187575343566661
1993-07-01,2.270162200509507
1993-08-01,2.5856100977251106
1993-09-01,2.6680365370105763
1993-10-01,2.383773053278704
1993-11-01,2.0849988807521314
1993-12-01,2.265103351330633
1994-01-01,2.5885711536302702
1994-02-01,2.405279181344322
1994-03-01,2.1857403441985834
1994-04-01,2.393755420641819
1994-05-01,2.3549214239645178
1994-06-01,2.3357870894677335
1994-07-01,2.0621157181144545
1994-08-01,2.1516345203157705
1994-09-01,1.9435540614494595
1994-10-01,1.7966319015527032
1994-11-01,2.1301256147605363
1994-12-01,2.2430490471727627
1995-01-01,2.370046118971292
1995-02-01,2.289636708900167
1995-03-01,2.443226797882736
1995-04-01,2.297753068547559
1995-05-01,2.5635508560538423
1995-06-01,2.6882464149029284
1995-07-01,2.8437702740276016
1995-08-01,2.7162390536180636
1995-09-01,3.010828553023104
1995-10-01,3.021412552609748
1995-11-01,2.9015734748335964
1995-12-01,3.102847714495227
1996-01-01,2.909240848490402
1996-02-01,3.0433525571769815
1996-03-01,2.9516493173932012
1996-04-01,2.8332706059465584
1996-05-01,2.814157700722264
1996-06-01,2.7660529860799254
1996-07-01,2.6539899968458736
1996-08-01,2.7326572736246835
1996-09-01,2.741174193356244
1996-10-01,2.9685845919873666
1996-11-01,3.0790783629914387
1996-12-01,2.7797946271133744
1997-01-01,2.6296263318790425
1997-02-01,2.3494838814478003
1997-03-01,2.2091397453823047
1997-04-01,2.10227355907886
1997-05-01,2.053576633824994
1997-06-01,2.143959917271099
1997-07-01,2.365902905802808
1997-08-01,2.314915920506655
1997-09-01,2.1868931335323527
1997-10-01,2.170576310454675
1997-11-01,2.06610375339773
1997-12-01,1.9361907645286447
1998-01-01,1.7611845339656984
1998-02-01,1.841057309401517
1998-03-01,1.905077326267901
1998-04-01,2.0977015614470407
1998-05-01,2.17648991016981
1998-06-01,1.875089120205331
1998-07-01,1.7394908737475623
1998-08-01,1.6122376378512993
1998-09-01,1.6777524074258032
1998-10-01,1.6397624682889411
1998-11-01,1.7140509682262994
1998-12-01,1.8725426413599866
