financial_year,price_index_rebased,real_income_rebased_m
2015/16,92.53062577691283,4957.2776164499855
2016/17,93.79653969502353,5004.449007673836
2017/18,96.27918244285539,4822.433969831185
2018/19,98.31626584243958,4937.128112431527
2019/20,100.0,4751.0
2020/21,100.80483742440614,1587.2254158436047
2021/22,104.50510563677352,3018.0343637585515
2022/23,113.65697887711318,3829.0653534838516
2023/24,120.00555689355329,4379.797182777253
2024/25,123.85649843945183,4559.30861210369
2025/26,128.7889249158261,4630.056508272974
2026/27,132.95758278693012,4680.440084393387
2027/28,137.00885289590585,4542.042261114324
2028/29,141.13699697779361,4409.1911640851495
2029/30,145.38093165469945,4280.478828393064
2030/31,149.7508945399273,4155.567830909214
