financial_year,passenger_income_m,avg_inflation,inflation_factor,price_index,real_passenger_income_m,fy_start
2015/16,4587.0,0.4391789903107642,1.0043917899031076,100.0,4587.0,2015
2016/17,4694.0,1.3681026227605457,1.0136810262276055,101.36810262276056,4630.647983487104,2016
2017/18,4643.0,2.6468383118439944,1.02646838311844,104.05115239896914,4462.2283299632145,2017
2018/19,4854.0,2.1158087843062687,1.0211580878430626,106.25267582159842,4568.355537840777,2018
2019/20,4751.0,1.7125692713541085,1.017125692713541,108.0723264977106,4396.130030661128,2019
2020/21,1600.0,0.8048374244061481,1.0080483742440616,108.94213302679059,1468.669609770294,2020
2021/22,3154.0,3.6707248450673045,1.036707248450673,112.94109897055125,2792.6060829480575,2021
2022/23,4352.0,8.757345571372014,1.0875734557137202,122.83174129950773,3543.0581329855668,2022
2023/24,5256.0,5.585735323216936,1.0558573532321693,129.69279726139678,4052.65374098339,2023
2024/25,5647.0,3.208969355739409,1.032089693557394,133.85459938211622,4218.756789880224,2024
2025/26,5963.0,3.9823719695947366,1.0398237196959474,139.18518742792295,4284.220260929662,2025
2026/27,6223.0,3.2368139370901425,1.0323681393709014,143.690352972955,4330.840499202668,2026
2027/28,6223.0,3.047039532501151,1.0304703953250116,148.0686548324314,4202.780127260925,2027
2028/29,6223.0,3.0130491531260177,1.0301304915312601,152.53003618290506,4079.852175828336,2028
2029/30,6223.0,3.0069611567359478,1.0300696115673595,157.1165551232803,3960.7538461603685,2029
2030/31,6223.0,3.005870739367067,1.0300587073936707,161.8392756804325,3845.1729185243776,2030
